原文,译文
「何事です？　騒がしいようですが」,「发生什么事了？看上去似乎很嘈杂」
【付き人】,【随从】
「どうやら誰かが逃げているようなのですが……よくわかりません」,「似乎是某个人逃跑了……具体的我也不是很清楚」
【神官】,【神官】
「聖女様。テラスにいらっしゃいますと、もしもの事がございます。まずは建物内にお下がりください」,「圣女大人，继续待在天台上可能会出事，请您先回到室内吧」
【聖女】,【圣女】
「構わずともよい。それより何が起こっているのです」,「不用在意我，比起那个，我更关心究竟发生了什么事」
【神官】,【神官】
「申し訳ございません、わかりかねます」,「对不起，我真的不知道」
【聖女】,【圣女】
「……そう」,「……是吗」
聖女の顔に失望の色が浮かんだ時、彼女の背後で深々と礼をする男の姿があった。,正当圣女的脸上露出失望神色的时候，一个男人在她身后深深地行了个礼。
【男】,【男人】
「<せんえつ>僭越|ながら、状況をご説明申し上げます」,「恕我僭越，请准许我说明状况」
【男】,【男人】
「お目見えの儀に集まった観衆の中に《羽化病》の<りかんしゃ>罹患者|がおりました」,「在来觐见的人群中出现了《羽化病》的患者」
【男】,【男人】
「それを見つけた民が動揺しているのです」,「围观的群众因而产生了骚动」
【男】,【男人】
「現在、《防疫局》の部隊を派遣しておりますので、間もなく沈静化すると思われます」,「现在，《防疫局》已经派遣了部队。我想不久之后，他们就会安静下来了」
淀みなく男は言った。,男人沉稳地说道。
言葉の端々から理性がにじみ出るような、落ち着いた口調だった。,声音处处透露出理性，便是这样冷静的声音。
【聖女】,【圣女】
「羽つき……」,「羽化病……」
【男】,【男人】
「何か？」,「怎么了？」
【聖女】,【圣女】
「いえ」,「没什么」
【聖女】,【圣女】
「大儀です。そなたの名は？」,「辛苦了，你的名字是？」
【男】,【男人】
「防疫局を任されております、ルキウス＝ディス＝ミレイユと申します」,「属下是在防疫局任职的，鲁基乌斯・迪斯・米利尤」
再度、礼をするルキウス卿。,鲁基乌斯再次躬身行礼。
【神官】,【神官】
「おお、貴方がルキウス卿でいらっしゃいましたか。お噂はかねがね」,「噢噢，阁下就是鲁基乌斯卿吗，我听说过你的传闻」
【神官】,【神官】
「お仕事では、ずいぶんと成果を上げておいでのようですね」,「阁下是在工作上相当出色的人呢」
神官が、両手を広げて大仰な賞賛を送る。,神官大张双手对男子加以赞赏。
【ルキウス】,【鲁基乌斯】
「お陰様にて」,「不敢当」
【ルキウス】,【鲁基乌斯】
「とはいえ、本日はわたくしの警備計画が不十分でした。お見苦しいところをお見せしまして、聖女様には申し訳もございません」,「话说回来，这次是属下警备工作的失职。让圣女大人见到这不成体统的一面，请您见谅」
【聖女】,【圣女】
「目が見えぬ私でも、集まった民の数は伝わりました。警備が行き届かぬのもやむなきこと」,「即使是目不见物的我，也能感受到聚集于此的民众数量之多。警备工作难以展开也在情理之中」
【ルキウス】,【鲁基乌斯】
「恐れ入ります」,「属下不胜惶恐」
【ルキウス】,【鲁基乌斯】
「それでは、持ち場に戻りますので、これで失礼いたします」,「接下来属下还要回到岗位上，在这里就先告退了」
【聖女】,【圣女】
「ルキウスとやら」,「鲁基乌斯先生」
【ルキウス】,【鲁基乌斯】
「はい」,「属下在」
【聖女】,【圣女】
「そなた、羽狩りの仕事をどのように考えていますか？」,「你是怎样看待羽狩的工作的呢？」
【神官】,【神官】
「せ、聖女様」,「圣，圣女大人」
聖女が、羽狩りという防疫局の<べっしょう>蔑称|を口にしたことに神官は驚いた。,神官震惊于圣女所使用的“羽狩”这个称呼防疫局的蔑称。
しかも、ルキウス本人の前で。,而且，还是当着鲁基乌斯本人的面。
【ルキウス】,【鲁基乌斯】
「防疫局の仕事は、国王陛下より賜った大切な職務。わたくしにあるのはただ、この都市のために働けるという喜びのみです」,「防疫局的工作是国王陛下赐予的重要职务。属下非常荣幸能够为这个都市的繁荣尽一份微薄之力」
【神官】,【神官】
「さ、さすがはルキウス卿。素晴らしいお志です」,「不，不愧是鲁基乌斯卿，相当优秀的想法」
【聖女】,【圣女】
「そうですか。大儀でした」,「是吗。辛苦你了」
ルキウスの答えが意に沿わなかったのか、聖女の言葉は抑揚のないものだった。,或许是因为不满意鲁基乌斯回答的缘故，圣女的回复也显得没什么诚意。
【付き人】,【随从】
「聖女様……」,「圣女大人……」
【ルキウス】,【鲁基乌斯】
「……」,「……」
穏やかな視線で付き人の聖職者を制し、ルキウスは姿勢を正した。,鲁基乌斯用沉稳的眼神制止住随从的圣职者，向圣女摆正了姿势。
【ルキウス】,【鲁基乌斯】
「それでは、職務に戻ります」,「那么，属下就回岗位去了」
羽つきの少年の乱れた足音からは、疲労が<うかが>窺|えた。,从羽化病的少年纷乱的足音中，可以听得出相当的疲劳。
俺に先回りされているとは、露ほどにも思っていないのだろう。,显然，他并没有想到我会捷足先登吧。
少年はせわしげに背後を振り返ると、微かな安堵の表情を浮かべ、膝に手をついた。,少年惶恐地回头看了一眼后，微微露出安心的表情，双手拄在膝盖上。
【カイム】,【凯伊姆】
「ご苦労さん」,「辛苦你了」
隠れていた横合いの路地から姿を現す。,我从侧面藏身的小巷中现身。
【羽つきの少年】,【羽化病患少年】
「ひっ！？」,「稀！？」
【カイム】,【凯伊姆】
「スラムに逃げるってのは悪くないアイデアだ」,「逃到贫民区是个不错的想法」
【羽つきの少年】,【羽化病患少年】
「お、お前、羽狩りか」,「你，你是，羽狩吗」
【カイム】,【凯伊姆】
「違う」,「不是」
【羽つきの少年】,【羽化病患少年】
「な、なんだ……てめえ、驚かせんじゃねぇよ」,「什，什么啊……混蛋，不要吓我啊」
少年の表情に生気が戻った。,少年的表情恢复了生气。
【カイム】,【凯伊姆】
「驚かせたのは謝る」,「我对令你受惊这件事致以歉意」
【カイム】,【凯伊姆】
「その代わり、店から盗んだ金を出してもらおう」,「作为回报，麻烦你把从店里偷的钱交出来吧」
【羽つきの少年】,【羽化病患少年】
「金？　何のことだ？」,「钱？你在说什么？」
とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。
刃物でも隠しているのだろう。,那里应该是藏有利器吧。
この手の子供は半端な大人より<たち>質|が悪い。,这种孩子比半瓶醋的大人性质更坏。
むしろ、子供であることを武器に殺しを商売にしている奴もいるくらいだ。,倒不如说，有很多人正是以这些孩子作为顾客出售杀人的武器。
かつての俺がそうだったように。,比方说从前的我。
【カイム】,【凯伊姆】
「腰のものなら、後ろに落としたぞ」,「你要找的腰上的东西，掉在你身后了」
【羽つきの少年】,【羽化病患少年】
「えっ？」,「哎？」
少年が表情を変えたその一瞬、,在少年变了表情的那一瞬间，
【羽つきの少年】,【羽化病患少年】
「ぎゃっ」,「呃呀」
横っ面を蹴り飛ばす。,他被我自侧面一脚踹飞。
うつ伏せに倒れた少年の腰から、小さなナイフを取り上げる。,我从倒下的少年腰中抽出一把小刀。
【羽つきの少年】,【羽化病患少年】
「く……クソ野郎が」,「你……你这混蛋」
【カイム】,【凯伊姆】
「……」,「……」
髪を掴み上げ、むりやり顔を起こした。,我抓住他的头发，强行将其拉起。
【カイム】,【凯伊姆】
