とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
鼻面を殴ったのだ。,我给了他的鼻子一拳。,我打了他鼻子一拳。
腕の関節を逆に折る。,啪唧，我折断了他的胳膊。,啪唧，我折断他胳膊。
「放っておけば、怪我をしたのはお前だぞ」,「如果放着他们不管的话，受伤的人可就是你了」,「若不管他们，受伤的就是你」
「で、でも。暴力を振るうなんて」,「但，但是，行使暴力是肯定不对的」,「但，动粗是不对的」
情報を聞き出そうかとも思ったが、それすら面倒だ。,本来还以为能从她嘴里得到什么情报，结果却只是白忙了一场。,原以为能得情报，结果白忙。
女が俯く。,少女低下头去。,少女低下头。
喉から出かかった声が、わずかに震えている。,虽然想要从喉咙里发出声音，但却只有身体在不停地颤抖。,她想发声，却只能颤抖。
迷ったのか、怖いのか。,是因为迷路了，还是因为害怕呢。,是迷路还是害怕？
「俺といた方が、怖い目に遭うかもな」,「跟着我走的话，说不定会被做很糟糕的事哦」,「跟我走，说不定会遇坏事」
「馬鹿が」,「你是笨蛋么」,「你傻么」
黒塗りの馬車だ。,是一架漆黑色的马车。,黑色马车。
聖職者らしい女の主か。,是位像圣职者般的女主人吗。,是圣职般的女主人？
何様のつもりだろうか。,她以为自己是哪国的大人物啊。,她以为是大人物啊。
鈴の音のような声に思わず耳を奪われる。,我不由自主地被这铃音般悦耳的声音所吸引。,我被她铃音般的声吸引。
次の言葉を待ったが、それっきりだった。,我还以为她会继续说下去，但对话却到此就为止了。,我以为她会继续说，却停了。
言葉を遮るように女が前に立つ。,仿佛遮挡着问话般，少女站在我的前面。,少女挡住我的问话。
軽い<きし>軋|みと共に、馬車が動きだす。,喀啦啦啦……在轻轻的车轮声中，马车向前行进。,喀啦啦……伴轻轮声，马车前行。
ずしりと重いが、硬貨の大きさに違和感がある。,虽然能够感受到沉甸甸的重量，但其大小却似乎与硬币不符。,能感受沉重，但大小和硬币不符。
だとすれば、変なところでしたたかな女だ。,如果是这样的话，说不定那个女人其实是个很难对付的角色。,若真如此，那女人可能难对付。
袋の中身を確かめる。,我确认着袋中的内容物。,我确认袋中物。
やはり教会関係者か。,果然是教会的相关者么。,果然是教会人？
聞き覚えがあった。,我曾经听过那个声音。,我听过那声音。
しかも最近だ。,而且还是在最近。,就在最近。
聖女なのか？,难道是圣女吗？,圣女吗？
見返すが、馬車はとうに消えていた。,我回头看去，马车已经消失在视野之外。,我回头，马车已消失。
またか。,喀嚓，又开始了啊。,喀嚓，又来了。
「何度も見られてるから」,「因为已经被看过无数回了」,「都被看过无数次了」
頭の病気だ。,这家伙脑子又犯病了。,他脑子又病了。
外に出る。,我走到外面。,我走出外。
恐怖と不安に媚びをまぶした目色。,因为恐惧与不安而露出的谄媚的眼神。,因恐惧露出的谄媚眼神。
唾液を呑み込む音が聞こえた。,能够听见她的喉咙咽下唾液的声音。,能听到她吞口水。
「思い出せば、飯が食えるぞ」,「能想出来的话，就可以吃饭了」,「想出办法就能吃饭」
「無理させると思い出せるものも思い出せなくなるわよ、ってだけ」,「我只是觉得，这么硬来的话，能想起的事情都会变得想不起来了，仅此而已」,「我只是觉得，这么...」
医者のエリスが言うことだ。,这是身为医生的艾莉斯的说法。,
確証は得られなかったが、やはりどこか嘘くさい。,虽然没有确切的证据，但她果然有什么地方在瞒着我。,
熱っぽい視線を向けられる。,一道炽热的视线投在我的身上。,
さっきまで吐きそうだったくせに現金な奴だ。,明明刚才还是一副要吐的样子，还真是个现实的家伙啊。,
速攻でかぶりついた。,少女毫无犹豫地开始大快朵颐。,
扉が鳴った。,咚咚，有人在敲门。,
「うふふ、私よ。開けて」,「呜呼呼，是人家，快开门」,
残念な奴が現れた。,出现了一个令人倒胃口的家伙。,
無視。,无视之。,
勝手に動くエリス。,艾莉斯擅自动了起来。,
「合い言葉は？」,「约好的暗号是？」,
「お・ま・た・せ♪」,「让、您、久、等、了～」,
「お邪魔だった？」,「打扰到你们了吗？」,
「いいわよ、顔見たかっただけだし」,「没关系，我只是来看看她长什么样子的」,
「牢獄にきてから羽が生えたとあっちゃ返品もできん」,「翅膀是来到牢狱以后才长出来的，也不能向他们要求退货」,
「あるけど、何も言わないまま廃人になる確率のほうが高い」,「有倒是有，不过吃完药后什么都想不起来变成废人的可能性比较高」,
「じゃあ、俺の華麗なマッサージで緊張を」,「那么，就让我用华丽的按摩来为她缓解紧张吧」,
「紳士的なもんさ」,「就是要做个绅士么」,
即答だ。,瞬间回答。,
「羽つきと楽しく遊んでやれと？」,「你要我和羽化病人开开心心地去约会吗？」,
「華麗に助けて乙女心を掴みなさいよ。女の子は頼れる男に弱いんだから」,「被华丽地救下以后，少女的心就被抓住了哦。女孩子对值得依靠的男生最没辙了」,
「なーに、俺達が応援してる。頑張れ」,「什么―啊，我们会给你应援的。加油吧」,
殴って黙らせる。,咚。我用拳头封住了他的嘴。,
「嫌」,「不要」,
「お前、無責任すぎるぞ」,「你这家伙，太没责任感了吧」,
眩しい笑顔で言われた。,艾莉斯露出开心的笑容说道。,
「それ新情報」,「这可是新情报」,
「いい歳してガキのお守りか」,「你以为我都几岁了，还让我去看小孩啊」,
「こう考えろ、重要参考人の監視業務だ」,「你可以这么想，这是在对重要的线人进行监视」,
まったく誠意が感じられない。,从这些家伙的话里完全感觉不到诚意的存在。,
問題ないだろう。,应该没什么问题吧。,
ある意味、俺と同類だ。,从某种意义上来说，和我是同类。,
理由も意味もない。,既无理由，亦无意义。,
理不尽？,听起来很荒唐吗？,
だから、人に必要なのは理不尽さを受け入れる強さだ。,所以，人们就必须学会坚强，直到可以让自己忍受这种种荒谬的事。,
カイムという男の人以外は出て行ったようだ。,除了被称作凯伊姆的男人以外，其他人都离开了。,
「嫌か？」,「讨厌吗？」,
合図を受け部屋に戻る。,收到信号后，我返回房间。,
だから勝手に話す。,所以我才要编这段话出来。,
「親がわかりませんので」,「因为我不知道自己的父母是谁」,
にしても、生まれて初めては言いすぎだ。,而且，从出生到现在头一次的这种说法，实在是太过了。,
「どんな仕事を？」,「你是做什么工作的？」,
返事はなくともわかる。,就算没有回答，我也能够想到。,
今までどのように扱われてきたのか、察せられた。,我算是知道了，到现在为止她究竟都受到了怎样的对待。,
少し強く言うと従順になる。,我用了个稍强硬的说法令她顺从了。,
典型的だな。,真是相当的典型啊。,
ティアは視線を泳がせながら２、３歩後ろを歩いている。,缇娅一边迷茫地四处张望，一边在我身后保持离我两三步的距离走着。,
「ひどいところじゃ、ガキや年寄りが道に転がってる。行ってみるか？」,「还有更过分的，孩子和老年人一个个瘫倒在路旁的场景，要不要去看看？」,
「奉仕の質を考えれば安いぐらいだ」,「从服务质量的角度来考虑已经很便宜了」,
「はい……」,「知道了……」,
落ち込んだらしい。,看来是受到打击了啊。,
「さ、美味いもんを食って気晴らしだ」,「来，去吃完好吃的东西就能打起精神了」,
と、ティアを促した時、,正当我这样催促着缇娅的时候，,
身体の動きも壊れた人形のよう。,身体也好像坏掉的人偶般一动不动。,
「目をつけられたら、その場で服を脱がされるぞ」,「如果被他们盯上的话，当场衣服就会被扒下来了哦」,
「上から許されてるらしい」,「他们的上司似乎允许这种行为」,
「怖くても笑え」,「即使感到害怕也给我笑出来」,
「できなければこの場に置いていく」,「如果做不到的话，我就把你丢在这里」,
ふやけたパンみたいな顔だが、まあ及第点だ。,虽然表情看上去像个涨坏的面包，不过也算及格了。,
余計なことは考えず、ただ前に進む。,我没有考虑多余的事情，一味地向前走着。,
不運を嘆いている暇はない。,没有感叹自己的不走运的功夫。,
